date,USD/CAD
2017-01-01,1.3193
2017-02-01,1.3107
2017-03-01,1.3386
2017-04-01,1.344
2017-05-01,1.3607
2017-06-01,1.3298
2017-07-01,1.2689
2017-08-01,1.2605
2017-09-01,1.2283
2017-10-01,1.2605
2017-11-01,1.2769
2017-12-01,1.2771
2018-01-01,1.2427
2018-02-01,1.2586
2018-03-01,1.2932
2018-04-01,1.2733
2018-05-01,1.2873
2018-06-01,1.3129
2018-07-01,1.313
2018-08-01,1.3041
2018-09-01,1.3037
2018-10-01,1.301
2018-11-01,1.32
2018-12-01,1.3432
2019-01-01,1.3301
2019-02-01,1.3206
2019-03-01,1.3368
2019-04-01,1.3378
2019-05-01,1.3459
2019-06-01,1.3287
2019-07-01,1.3101
2019-08-01,1.3277
2019-09-01,1.3241
2019-10-01,1.319
2019-11-01,1.3239
2019-12-01,1.3172
2020-01-01,1.3087
2020-02-01,1.3286
2020-03-01,1.3953
2020-04-01,1.4058
2020-05-01,1.397
